Cape Cod Hours,,,"$10,575.00",
,,,,
Financial Year Summary,,,,
,493.5,Billed Hours,,
,#REF!,Discounted Hours,,
"$37,012.50",#REF!,Total Hours,,
,,,,
July,,,,
1/7/2014,7,,,
2/7/2014,6,,,
6/7/2014,1,,#REF!,
9/7/2014,4,,,
24/7/2014,8,,,
25/7/2014,0.5,,,
"$1,987.50",26.5,Total hours,,
,,,,
August,,,,
7/8/2014,0.5,,,
11/8/2014,3,,,
13/8/2014,12,,,
14/8/2014,9,,,
15/8/2014,5,,,
18/8/2014,5,,,
22/8/2014,3,,,
24/8/2014,4,,,
28/8/2014,1,minor updates to weekly planner + few other requests from Jo,,
31/8/2014,5.5,"Updated planner to add/delete whole company, adding today/tomorrow buttons, clear company search + upcoming jobs",,
"$3,600.00",48,Total hours,,
,,,,
September,,,,
18/9/2014,3.5,"Resolve  non-compliant company, Link non-compliance to site attendanc",,
23/9/2014,1.5,Updated planner to show companies all onsite + non-compliant,,
26/9/2014,0.5,"Added Attendance to dail, non-attend hove, company compliance box styling",,
$412.50,5.5,Total hours,,
,,,,
October,,,,
2/10/2014,1.5,,,
8/10/2014,2,,,
9/10/2014,5,,,
$637.50,8.5,Total hours,,
,,,,
November,,,,
3/11/2014,12,"5hrs migrating data, 2hrs on company, 5hrs on jtable",,
4/11/2014,11,"hide/show planner, ajax planner + date/job/search",,
5/11/2014,9,add companies/tasks,,
6/11/2014,3.5,"clean up function code, trade/tasks",,
9/11/2014,3,"trades/tasks, comfirm delete",,
10/11/2014,6,"dynamic trade plan, hide/show company trade search",,
12/11/2014,8,"fixed company add/edit, separeted company/contract, daily search, redid trade planner in new container",,
13/11/2014,5,"fixed task duplicates, chat with Jo 45min, trade planner",,
18/11/2014,5,"add/delete tasks on trade plan, trade plan next/prev",,
19/11/2014,4,converting weekly to ajax,,
20/11/2014,10.5,"weekly planner colours, showinh unroster companies, fixing daily planner to update single sub and not add new ones",,
21/11/2014,5,search  subbie,,
24/11/2014,4,"transit on trade, started mov/del company drop down, tested super login trade/weekly",,
25/11/2014,8,log file creation + updates compliance + actions for new structure,,
30/11/2014,2,daily planner move/del company + nicing up planners,,
30/11/2014,-23,Discounted time,,
"$5,475.00",73,Total hours,,
,,,,
December,,,,
1/12/2014,2,,,
2/12/2014,4,"daily add +x days, next/prev dynamic, daily columns and no edit past dates",,
3/12/2014,4,"moved next/prev day button, daily planner styling ipad1/2",,
4/12/2014,8.5,created planner export,,
5/12/2014,1,chat with Jo,,
6/12/2014,4,Migration/lost users updatingcompliance/dailyadmin,,
8/12/2014,3.5,golive fixes + started multiple tasks,,
9/12/2014,4,"chat with Jo, completed nultiple tasks",,
10/12/2014,3.5,"chat with jo, job planner export, sorted trade planner with active at top",,
11/12/2014,2,"installed backup, updated job planner export with unassigned, added actions for supers, chst with Jo",,
11/12/2014,-9.5,Discounted time,,
17/12/2014,1,Talk Jo re stage 3+4,,
18/12/2014,2,"added new user type + updated permissions, fixed job/planner export",,
20/12/2014,1,"non-comply res col, company trans + logo, nightly backup",,
22/12/2014,2.5,added multiple trades to company tab,,
23/12/2014,9,"redesign trades/tasks for multiples, started trade planner",,
24/12/2014,6,"trade planner, rewrite planner_update = pass args, myDate, fixed subbie search",,
25/12/2014,3,added upcoming flag to tasks + trade plan,,
26/12/2014,8,"big rewrite for generics, finished trade planner, assigned generics to companies trade/daily",,
31/12/2014,0.5,"update gen colour, remove debgging + uploads live",,
"$4,500.00",60,Total hours,,
,,,,
January,,,,
4/1/2015,3.5,started reports tab,,
24/1/2015,1,troubleshoot backup failure,,
$337.50,4.5,Total hours,,
,,,,
Febuary,,,,
3/2/2015,1,"trade -x days, chat with jo",,
4/2/2015,6,,,
9/2/2015,7,"talk with Jo 1.5hr, adding reports",,
10/2/2015,11,"Report uploads + changes to categories etc, installed linklokurl, installed flexing menu",,
11/2/2015,7,"Report uploads + categories, started on contract login",,
12/2/2015,1,"fixes to report categories, + auto reload add page",,
13/2/2015,3,,,
14/2/2015,3,"Worked on job site, + popup job site messages",,
15/2/2015,7,launched new jobsite interface,,
16/2/2015,9.5,"accident report, meds lib, toolbox, web style/formating",,
17/2/2015,10.5,"front end interface, menu buttons, removal unused old code,  splitting menu tabs, accident form",,
18/2/2015,6.5,"migrate new server, updated report mgr, sessions, ",,
19/2/2015,3.5,meeting onsite,,
23/2/2015,1,"talking to Jo,  hiding MSDS unused categories + duplicate reports",,
24/2/2015,2,"added conference login, fixed multi wms + delete, ",,
25/2/2015,3.5,"opening reports in chrome, mobile photo upload",,
26/2/2015,1,"Talk Jo 30min, fixed up wording whs + msds",,
"$6,262.50",83.5,Total hours,,
,,,,
March,,,,
2/3/2015,1,"fixed job site plan drop down, read only for planner login, upload photo browse, refresh of tables from live",,
3/3/2015,1,updated font on photo upload + job site plans/whs. updated all section header icons,,
5/3/2015,2.5,Migration to new server + updates,,
9/3/2015,2,"fixing upload photo max_upload_siz, adding extra attendees to conf, fixing up email to jo/rob on actions",,
