Cape Cod Hours  2015-2016,,
,,
Financial Year Summary,,
,884,Billed Hours
,,Discounted Hours
"$66,300.00 ",884,Total Hours
,,
July,,
1/7/2015,5,company leave
2/7/2015,1.5,Job Planner - job start
8/7/2015,11.5,"accident manager + export, planner tabs"
9/7/2015,3,"planner tabs, front buttons, jo chat"
15/7/2015,9.5,"Job planner - move job date, tradeplanner - jobstart, close dropdowns, weekly own jobs"
16/7/2015,3.5,"trade plan allocate job, compliance colours, del inactive users from roster"
18/7/2015,3,move job start in tradeplan + jobs before
22/7/2015,6,"fixed moving jobstart + task before, company/user loop, allow 1 jobstart"
25/7/2015,3.5,database split - data structure
26/7/2015,2.5,database split - weekly
27/7/2015,3.5,database split - clean up code
28/7/2015,5,database split - job planner
29/7/2015,10,database split - updating db functions
30/7/2015,10.5,database split - tradeplan
31/7/2015,1,database split - attendance
"$5,925.00 ",79,Total hours
,,
August,,
1/8/2015,2.5,database split - attendance
2/8/2015,5.5,database split - attendance
3/8/2015,3,"database split - attenance, non_comply cron"
4/8/2015,0.5,database split - tradeplan
5/8/2015,4,"database split - tradeplanner, attendance, weekly"
6/8/2015,2,database split - attendance
8/8/2015,5,database split - backup + testing
9/8/2015,2,database split - goLive
10/8/2015,1,fixing json returns + popup error mesg
19/8/2015,3,"trade/job planners - reassigning tasks, server php settings"
20/8/2015,1,preventing duplicate start jobs
21/8/2015,2,"Job export, code cleaning"
24/8/2015,1,code cleaning
26/8/2015,9.5,"Company inactive, deactive, company/job export, upcoming tradeplan, db backup"
27/8/2015,1,Jo chat + planning
"$3,225.00 ",43,Total hours
,,
September,,
22/9/2015,5,"fixed daylight saving bug in job planner, deleting company on current day on attendance, fixed various jobstarts"
23/9/2015,2,chat with Jo. wms/toolbox talks planning
26/9/2015,9.5,"WMS + Toolbox planning, begun coding WMS"
27/9/2015,5.5,WMS - creation
28/9/2015,2.5,"WMS - edit mode, debug jobplan week rows"
29/9/2015,1.5,Jo chat + debug
30/9/2015,1.5,WMS
"$2,062.50 ",27.5,Total hours
,,
October,,
7/10/2015,10.5,WMS - adding + deleting haz/steps
8/10/2015,7,"WMS - controls, templates"
15/10/2015,5.5,WMS - templates
21/10/2015,7,WMS - reports + copy templates
22/10/2015,3.5,WMS - templates
28/10/2015,6.5,"WMS - reports (sign off), Web Dev letter"
29/10/2015,7.5,"WMS - reports, sign off, report mod highlight"
30/10/2015,1,Jo chat
"$3,637.50 ",48.5,Total hours
,,
November,,
3/11/2015,1,Jo chat
4/11/2015,3,"WMS - reports, sign off, stylying"
5/11/2015,3.5,"Job planner - start date, WMS - cod sign off, buttons"
6/11/2015,1,generic in daily not logged in
8/11/2015,2,New WHS System Planning
10/11/2015,1,New WHS System Planning
11/11/2015,9,"Job Attendence bug, WMS pdf, New WHS design Planning"
12/11/2015,7,"wms pdf/email, edit->add, jobplanner bug fix"
14/11/2015,3,New WHS design Planning
15/11/2015,3,New WHS design Planning
16/11/2015,1.5,New WHS design Planning
18/11/2015,8,"WMS edit mode with apppend, debug job attendance/roster and today add/del, new whs design plan"
19/11/2015,1,New WHS design Planning
23/11/2015,1,New whs template design
28/11/2015,6,New WHS Laravel
"$3,825.00 ",51,Total hours
,,
December,,
2/12/2015,7,"fusion site, debug attendence/non comply"
4/12/2015,1,Jo chat + debug non-comply
7/12/2015,2.5,worksafe site
9/12/2015,8,*new worksafe site
11/12/2015,1,"Jo chat, fixing non-compliance"
12/12/2015,9,worksafe site
