Cape Cod Hours  2016-2017,,,,,
,,,,,
Financial Year Summary,,,,,
,772.5,Billed Hours,,,
,,Discounted Hours,,,
"$57,937.50",772.5,Total Hours,,,
,,,,,
July,,,,,
1/7/2016,2.5,weekly planner,,,
2/7/2016,8.5,safety docs,,,
4/7/2016,5.5,safety docs,,,
5/7/2016,4,safety docs,,,
6/7/2016,9,safety docs,,,
13/7/2016,11,wms docs,,,
14/7/2016,9,wms docs,,,
15/7/2016,7,wms docs,,,
16/7/2016,14,wms docs,,,
17/7/2016,7.5,wms docs,,,
18/7/2016,10,wms docs,,,
19/7/2016,10,"wms docs, email server, pdf writer",,,
20/7/2016,14,"wms docs, pdf writer",,,
24/7/2016,6.5,"wms docs, DB transfer",,,
25/7/2016,2,conf prep,,,
26/7/2016,3.5, ,,,
27/7/2016,8,"dash, wms, conf prep",,,
28/7/2016,6.5,"dash, conf prep",,,
30/7/2016,-15,adjustment to be billed later,,,
"$9,262.50",123.5,Total hours,,,
,,,,,
August,,,,,
2/8/2016,3,trade planner,,,
3/8/2016,8.5,trade planner,,,
4/8/2016,10.5,trade planner,,,
5/8/2016,5,trade planner,,,
9/8/2016,2,compliance,,,
10/8/2016,8,compliance,,,
11/8/2016,4,compliance,,,
12/8/2016,2.5,compliance,,,
13/8/2016,9,"compliance, attendance",,,
14/8/2016,2,attendance,,,
16/8/2016,7,attendance,,,
17/8/2016,2,attendance,,,
18/8/2016,9,attendance,,,
19/8/2016,6.5,attendance,,,
20/8/2016,8.5,"migration, attendance, timestamp bug",,,
21/8/2016,4.5,"attendance, cron nightly",,,
22/8/2016,7.5,Jo todo list for golive,,,
23/8/2016,8,"Jo todo, planner export pdf",,,
24/8/2016,4.5,export site planner,,,
25/8/2016,3,export site planner,,,
26/8/2016,1.5,go live prep,,,
27/8/2016,7.5,"go live migration + prep, dev server",,,
28/8/2016,6,go live debug,,,
29/8/2016,3,go live debug,,,
30/8/2016,7.5,go live debug,,,
31/8/2016,8.5,"export jobstart/company, bugs",,,
"$11,175.00",149,Total hours,,,
,,,,,
September,,,,,
1/9/2016,4,export company planner,,,
2/9/2016,1.5,"planner bug - deleting past tasks, cron nightly",,,
3/9/2016,8.5,"debug non-compliance, cron nightly",,,
4/9/2016,4.5,fixes + connected tasks,,,
6/9/2016,2,bug fixes,,,
20/9/2016,8,site docs,,,
21/9/2016,10,site docs,,,
22/9/2016,7,jo's list (bugs),,,
26/9/2016,3.5,jo's list (bugs),,,
27/9/2016,8,jo's list (bugs),,,
28/9/2016,1,jo's list (bugs),,,
29/9/2016,5.5,jo's list (bugs),,,
30/9/2016,3.5,jo's list (bugs),,,
30/9/2016,15,adjustment for unbilled July hours,,,
"$6,150.00",82,Total hours,,,
,,,,,
October,,,,,
7/10/2016,1,jo's list (bugs),,,
8/10/2016,3.5,"jo's list (bugs), dev server",,,
13/10/2016,5.5,jo's list (bugs),,,
19/10/2016,2,jo's list (bugs),,,
20/10/2016,2,jo's list (bugs),,,
21/10/2016,2.5,jo's list (bugs),,,
24/10/2016,4.5,support tickets,,,
31/10/2016,1.5,support tickets,,,
"$1,687.50",22.5,Total hours,,,
$168.75,GST,,,,
"$1,856.25",Total,,,,
,,,,,
November,,,,,
3/11/2016,5,support tickets,,,
7/11/2016,7,support tickets,,,
9/11/2016,7.5,"support tickets, backups",,,
10/11/2016,5,"support tickets, backups",,,
12/11/2016,2,weekly planner (super sites only),,,
14/11/2016,8,roles/permissions,,,
16/11/2016,4.5,roles/permissions,,,
17/11/2016,4.5,roles/permissions,,,
18/11/2016,5,roles/permissions,,,
19/11/2016,2,roles/permissions,,,
20/11/2016,1,roles/permissions,,,
21/11/2016,1,roles/permissions,,,
22/11/2016,3,roles/permissions,,,
23/11/2016,5.5,roles/permissions,,,
25/11/2016,2.5,roles/permissions,,,
28/11/2016,3,roles/permissions,,,
"$4,987.50",66.5,Total hours,,,
$498.75,GST,,,,
"$5,486.25",Total,,,,
,,,,,
December,,,,,
7/12/2016,2.5,roles/permissions,,,
8/12/2016,6,roles/permissions,,,
9/12/2016,1.5,roles/permissions,,,
10/12/2016,7.5,roles/permissions,,,
12/12/2016,13.5,roles/permissions,,,
13/12/2016,1,roles/permissions,,,
14/12/2016,5.5,roles/permissions,,,
15/12/2016,4,roles/permissions,,,
16/12/2016,6,roles/permissions,,,
17/12/2016,5,roles/permissions,,,
"$3,937.50",52.5,Total hours,,,
$393.75,GST,,,,
"$4,331.25",Total,,,,
,,,,,
January,,,,,
4/1/2017,1.5,roles/permissions,,,
5/1/2017,2.5,roles/permissions,,,
6/1/2017,7.5,ToDo,,,
9/1/2017,4,roles/permissions - Jo fixes,,,
10/1/2017,1.5,roles/permissions - Jo fixes,,,
14/1/2017,1.5,roles/permissions - Jo fixes,,,
15/1/2017,2,roles/permissions - Jo fixes,,,
22/1/2017,3.5,roles/permissions - GoLive,,,
23/1/2017,4,roles/permissions - Jo fixes,,,
24/1/2017,6.5,roles/permissions - Jo fixes,,,
25/1/2017,6.5,area supervisors,,,
26/1/2017,2,area supervisors,,,
27/1/2017,10,area supervisors, ,,
29/1/2017,1.5,roles/permissions - Jo fixes,,,
"$4,087.50",54.5,Total hours,,,
$408.75,GST,,,,
"$4,496.25",Total,,,,
,,,,,
Febuary,,,,,
