Cape Cod Hours  2023-2024,,,
,,,
Financial Year Summary,,,
,556,Billed Hours,
,,$0 ,
"$47,260.00 ",556,Total Hours,
,,,
July,,,
7/7/2023,1.5,tix,
10/7/2023,1,tix,
24/7/2023,2,tix,
25/7/2023,1,tix,
26/7/2023,3,tix,
28/7/2023,1.5,tix,
$850.00 ,10,Total hours,
$85.00 ,GST,,
$935.00 ,Total,,
,,,
August,,,
1/8/2023,2,Elect/Plumb emails,
3/8/2023,6.5,tix,
4/8/2023,10.5,ToDo report,
5/8/2023,3,ToDo report,
7/8/2023,4.5,"PTC, tix",
8/8/2023,4.5,"PTC, tix",
9/8/2023,2,contract extension,
10/8/2023,3,contract extension,
11/8/2023,2,tix,
14/8/2023,9,tix,
15/8/2023,3,tix,
16/8/2023,6.5,"tix, updated reports (expired company docs, maintenance)",
17/8/2023,7.5,"support ticket files, delete hazards/incidents",
18/8/2023,9,single supervisor update,
19/8/2023,2,single supervisor update,
20/8/2023,1,single supervisor update,
21/8/2023,4,tix,
22/8/2023,0.5,tix,
23/8/2023,1,tix,
24/8/2023,9,"hazard multiple, tix",
25/8/2023,2,tix,
28/8/2023,1.5,tix,
29/8/2023,2.5,tix,
30/8/2023,0.5,tix,
30/8/2023,-20,Delay hours to another month,
"$6,545.00 ",77,Total hours,
$654.50 ,GST,,
"$7,199.50 ",Total,,
,,,
September,,,
5/9/2023,5.5,"client planner, company signups, tix",
6/9/2023,5,"contract extension, tix",
7/9/2023,1.5,tix,
11/9/2023,3,tix,
12/9/2023,5,payroll report,
14/9/2023,2,tix,
19/9/2023,3,tix,
21/9/2023,1.5,tix,
25/9/2023,1,tix,
26/9/2023,1,cape cod office visit,
30/9/2023,20,Delayed hours previous month taken up,
"$4,122.50 ",48.5,Total hours,
$412.25 ,GST,,
"$4,534.75 ",Total,,
,,,
October,,,
9/10/2023,6,Gary leaving,
10/10/2023,2.5,Gary leaving,
12/10/2023,2,contract extensions,
16/10/2023,4,"tix, planners",
20/10/2023,1.5,tix ,
23/10/2023,2,"tix, module status update",
24/10/2023,6,module status update,
25/10/2023,4,site notes,
27/10/2023,5,site notes,
28/10/2023,3,new category module,
30/10/2023,1.5,updating old file uploads to new module,
31/10/2023,4,updating old file uploads to new module,
"$3,527.50 ",41.5,Total hours,
$352.75 ,GST,,
"$3,880.25 ",Total,,
,,,
November,,,
1/11/2023,3,"management reports, tix",
2/11/2023,0.5,tix,
3/11/2023,2.5,"Plumbing report (not with client status), tix",
7/11/2023,1,tix,
13/11/2023,2,tix,
14/11/2023,1,tix,
17/11/2023,5,"ToDo tasks, Site notes",
21/11/2023,0.5,tix,
22/11/2023,2.5,"Weekly planner, tix",
