Cape Cod Hours  2024-2025,,,,,,,
,,,,,,,
Financial Year Summary,,,,,,,
,217,SWS,,85,Hourly rate,,
,327.5,Zoho,,,,,
,9.5,Other,,,,,
,,,,55 hrs per month budget,,,
"$45,602.50 ",554,Total Hours,,,,,
,,,,,,,
July,,,,,,,
1/7/2024,2,zoho,,,,,
2/7/2024,9,sws import,,,,,
3/7/2024,6.5,sws import,,,,,
4/7/2024,1,sws import,,,,,
5/7/2024,4.5,tix,,,,,
9/7/2024,5,zoho,,,,,
10/7/2024,1,other - databuild,,,,,
10/7/2024,1,tix,,,,,
10/7/2024,2,zoho,,,,,
11/7/2024,1,zoho,,,,,
11/7/2024,6,"tix, startjob",,,,,
12/7/2024,4,site note,,,,,
13/7/2024,1,site note,,,,,
15/7/2024,1,tix,,,,,
17/7/2024,1,tix,,,,,
18/7/2024,3,zoho,,,,,
18/7/2024,3.5,"site note, tix",,,,,
29/7/2024,2.5,tix,,,,,
29/7/2024,0.5,zoho,,,,,
"$4,717.50 ",55.5,Total hours,SWS,41,"$3,485.00 ",,
$471.75 ,GST,,Zoho,13.5,"$1,147.50 ",,
"$5,189.25 ",Total,,Other,1,$85.00 ,,
,,,,,,,
August,,,,,,,
1/8/2024,5.5,zoho users,,,,,
2/8/2024,6,"notes, tix",,,,,
5/8/2024,1.5,tix,,,,,
6/8/2024,5.5,zoho requests,,,,,
6/8/2024,1,tix,,,,,
9/8/2024,1,tix,,,,,
13/8/2024,4.5,tix,,,,,
15/8/2024,2.5,tix,,,,,
19/8/2024,2.5,zoho,,,,,
20/8/2024,5,tix,,,,,
21/8/2024,1,tix,,,,,
21/8/2024,1,zoho,,,,,
26/8/2024,6,zoho,,,,,
26/8/2024,1.5,tix,,,,,
"$3,782.50 ",44.5,Total hours,SWS,24,"$2,040.00 ",,
$378.25 ,GST,,Zoho,20.5,"$1,742.50 ",,
"$4,160.75 ",Total,,Other,0, $-   ,,
,,,,,,,
September,,,,,,,
2/9/2024,2,tix,,,,,
5/9/2024,3,tix,,,,,
6/9/2024,1,tix,,,,,
6/9/2024,7,zoho new fields,,,,,
8/9/2024,1.5,zoho new fields,,,,,
9/9/2024,7,zoho new fields,,,,,
9/9/2024,2,tix electrical,,,,,
12/9/2024,4,zoho cleanup,,,,,
12/9/2024,1,tix,,,,,
13/9/2024,8,zoho cleanup,,,,,
14/9/2024,2,zoho cleanup,,,,,
16/9/2024,4,zoho cleanup,,,,,
16/9/2024,0.5,tix,,,,,
17/9/2024,6.5,"zoho cleanup, request tix",,,,,
18/9/2024,8.5,zoho request tix,,,,,
19/9/2024,1,tix,,,,,
23/9/2024,2,tix,,,,,
23/9/2024,6.5,zoho new variation fields,,,,,
24/9/2024,9,zoho variation LIVE,,,,,
25/9/2024,1,other - databuild,,,,,
26/9/2024,0.5,tix,,,,,
26/9/2024,3.5,other - databuild,,,,,
26/9/2024,1.5,zoho,,,,,
30/9/2024,4,other - databuild,,,,,
30/9/2024,-10,postpone zoho hours,,,,,
"$6,545.00 ",77,Total hours,SWS,13,"$1,105.00 ",,
$654.50 ,GST,,Zoho,55.5,"$4,717.50 ",,
"$7,199.50 ",Total,,Other,8.5,$722.50 ,,
,,,,,,,
October,,,,,,,
1/10/2024,3,tix,,,,,
1/10/2024,1,toolbox talks,,,,,
3/10/2024,5,"zoho cleanup, support ",,,,,
3/10/2024,5.5,toolbox talks,,,,,
4/10/2024,9,"zoho cleanup, commissions",,,,,
5/10/2024,6,"zoho cleanup, commissions",,,,,
7/10/2024,1,tix,,,,,
7/10/2024,4,zoho,,,,,
8/10/2024,7.5,zoho,,,,,
10/10/2024,1.5,"tix, forecast completion",,,,,
14/10/2024,2.5,construction docs,,,,,
15/10/2024,3,tix,,,,,
16/10/2024,1,tix,,,,,
16/10/2024,4,zoho job workflows,,,,,
18/10/2024,2,zoho,,,,,
18/10/2024,1,tix,,,,,
19/10/2024,4,zoho requests,,,,,
20/10/2024,1.5,zoho requests,,,,,
21/10/2024,3.5,site notes  (prac),,,,,
22/10/2024,4,zoho job workflows,,,,,
28/10/2024,1,tix,,,,,
28/10/2024,4.5,zoho,,,,,
29/10/2024,0.5,tix,,,,,
29/10/2024,0.5,zoho,,,,,
30/10/2024,7,zoho merge doc,,,,,
"$7,097.50 ",83.5,Total hours,SWS,24.5,"$2,082.50 ",,
$709.75 ,GST,,Zoho,59,"$5,015.00 ",,
"$7,807.25 ",Total,,Other,0, $-   ,,
,,,,,,,
November,,,,,,,
4/11/2024,2,zoho,,,,,
7/11/2024,5.5,zoho merge doc,,,,,
8/11/2024,3,zoho,,,,,
14/11/2024,1,zoho commissions,,,,,
18/11/2024,6.5,zoho commissions,,,,,
19/11/2024,6.5,zoho commissions,,,,,
21/11/2024,10,zoho commissions + reports,,,,,
26/11/2024,0.5,tix,,,,,
28/11/2024,1,tix,,,,,
28/11/2024,5.5,zoho commissions,,,,,
29/11/2024,1.5,zoho,,,,,
30/11/2024,10,zoho past hours (Sept),,,,,
"$4,505.00 ",53,Total hours,SWS,1.5,$127.50 ,,
$450.50 ,GST,,Zoho,51.5,"$4,377.50 ",,
"$4,955.50 ",Total,,Other,0, $-   ,,
,,,,,,,
December,,,,,,,
1/12/2024,12,zoho data check,,,,,
2/12/2024,9,zoho data check,,,,,
3/12/2024,5,sws shutdown,,,,,
5/12/2024,1,sws tix,,,,,
5/12/2024,6,zoho,,,,,
6/12/2024,2,sws email,,,,,
11/12/2024,3,zoho commission,,,,,
12/12/2024,1,sws tix,,,,,
12/12/2024,4.5,zoho commission,,,,,
13/12/2024,1,sws tix,,,,,
18/12/2024,0.5,zoho,,,,,
19/12/2024,2,zoho commission,,,,,
22/12/2024,1,tix,,,,,
"$4,080.00 ",48,Total hours,SWS,11,$935.00 ,,
$408.00 ,GST,,Zoho,37,"$3,145.00 ",,
"$4,488.00 ",Total,,Other,0, $-   ,,
,,,,,,,
January,,,,,,,
22/1/2025,1,tix,,,,,
23/1/2025,1,zoho commission,,,,,
29/1/2025,4.5,zoho commission,,,,,
29/1/2025,1.5,tix,,,,,
30/1/2025,8,zoho interim statement,,,,,
31/1/2025,5,zoho interim statement,,,,,
31/1/2025,2,tix,,,,,
31/1/2025,8,zoho pre-billed,,,,,
"$2,635.00 ",31,Total hours,SWS,4.5,$382.50 ,,
$263.50 ,GST,,Zoho,26.5,"$2,252.50 ",,"$5,034.00 "
"$2,898.50 ",Total,,Other,0, $-   ,,
,,,,,,,
Febuary,,,,,,,
11/2/2025,3.5,zoho,,,,,
13/2/2025,4,sws,,,,,
21/2/2025,3,sws,,,,,
24/2/2025,1,sws,,,,,
26/2/2025,3,sws,,,,,
28/2/2025,3,zoho,,,,,
"$1,487.50 ",17.5,Total hours,SWS,11,$935.00 ,,
$148.75 ,GST,,Zoho,6.5,$552.50 ,,
"$1,636.25 ",Total,,Other,0, $-   ,,
,,,,,,,
March,,,,,,,
1/3/2025,1,zoho,,,,,
1/3/2025,2,sws,,,,,
6/3/2025,3.5,sws,,,,,
11/3/2025,2.5,sws,,,,,
17/3/2025,1,sws,,,,,
17/3/2025,4,zoho QAF %,,,,,
19/3/2025,3,zoho,,,,,
21/3/2025,9,zoho interim,,,,,
24/3/2025,6,zoho interim,,,,,
26/3/2025,2,zoho,,,,,
"$2,890.00 ",34,Total hours,SWS,9,$765.00 ,,
$289.00 ,GST,,Zoho,25,"$2,125.00 ",,
"$3,179.00 ",Total,,Other,0, $-   ,,
,,,,,,,
April,,,,,,,
1/4/2025,1,zoho,,,,,
2/4/2025,3,zoho interim,,,,,
2/4/2025,1,sws,,,,,
3/4/2025,3,sws,,,,,
3/4/2025,1.5,zoho interim,,,,,
4/4/2025,2.5,sws,,,,,
7/4/2025,1.5,sws,,,,,
16/4/2025,2,sws,,,,,
17/4/2025,2,sws,,,,,
17/4/2025,1,zoho,,,,,
22/4/2025,5,zoho recent homes,,,,,
23/4/2025,2,zoho recent homes,,,,,
23/4/2025,1,sws,,,,,
24/4/2025,2.5,sws contract extension,,,,,
30/4/2025,2.5,sws,,,,,
30/4/2025,1,zoho,,,,,
"$2,762.50 ",32.5,Total hours,SWS,18,"$1,530.00 ",,
$276.25 ,GST,,Zoho,14.5,"$1,232.50 ",,
"$3,038.75 ",Total,,Other,0, $-   ,,
,,,,,,,
May,,,,,,,
1/5/2025,5.5,sws,,,,,
5/5/2025,4,sws,,,,,
8/5/2025,5,sws,,,,,
12/5/2025,1,sws,,,,,
15/5/2025,1,sws,,,,,
16/5/2025,1,sws,,,,,
26/5/2025,4.5,zoho,,,,,
29/5/2025,2,sws,,,,,
31/5/2025,7.5,"sws publics hols, asbestos",,,,,
"$2,677.50 ",31.5,Total hours,SWS,27,"$2,295.00 ",,
$267.75 ,GST,,Zoho,4.5,$382.50 ,,
"$2,945.25 ",Total,,Other,0, $-   ,,
,,,,,,,
June,,,,,,,
2/6/2025,2,sws,,,,,
3/6/2025,3.5,sws,,,,,
6/6/2025,5.5,sws site notes,,,,,
10/6/2025,4,sws public hols,,,,,
11/6/2025,3.5,zoho recent homes,,,,,
19/6/2025,1,zoho recent homes,,,,,
23/6/2025,4.5,sws FOC,,,,,
25/6/2025,1,sws FOC,,,,,
26/6/2025,2.5,zoho ,,,,,
30/6/2025,1,sws,,,,,
"$2,422.50 ",28.5,Total hours,SWS,21.5,"$1,827.50 ",,
$242.25 ,GST,,Zoho,7,$595.00 ,,
"$2,664.75 ",Total,,Other,0, $-   ,,
