Cape Cod Hours  2025-2026,,,,,,,
,,,,,,,
Financial Year Summary,,,,,,,
,72.5,SWS,,85,Hourly rate,,
,152,Zoho,,,,,
,0,Other,,,,,
,,,,55 hrs per month budget,,,
" $19,082.50 ",224.5,Total Hours,,,,,
,,,,,,,
July,,,,,,,
7/7/2025,4,sws upcoming jobs,,,,,
7/7/2025,1,zoho connect cards,,,,,
8/7/2025,1,sws  ,,,,,
9/7/2025,4,sws qa order,,,,,
14/7/2025,1.5,sws,,,,,
18/7/2025,1,zoho  ,,,,,
20/7/2025,2,zoho completion formula,,,,,
21/7/2025,6,zoho connect cards,,,,,
21/7/2025,2,sws foc,,,,,
22/7/2025,4,zoho connect cards,,,,,
24/7/2025,4.5,zoho,,,,,
28/7/2025,1.5,sws,,,,,
29/7/2025,2,sws,,,,,
30/7/2025,3.5,zoho workflows,,,,,
" $3,230.00 ",38,Total hours,SWS,16," $1,360.00 ",,
 $323.00 ,GST,,Zoho,22," $1,870.00 ",,
" $3,553.00 ",Total,,Other,0, $-   ,,
,,,,,,,
August,,,,,,,
4/8/2025,2,zoho,,,,,
4/8/2025,1,zoho swish,,,,,
7/8/2025,3.5,zoho,,,,,
11/8/2025,4.5,zoho task workflows,,,,,
13/8/2025,2.5,sws tix,,,,,
18/8/2025,3.5,sws tix,,,,,
18/8/2025,1,zoho swish,,,,,
21/8/2025,4,zoho,,,,,
25/8/2025,9,zoho connect cards,,,,,
26/8/2025,1,zoho swish,,,,,
27/8/2025,6,zoho swish,,,,,
28/8/2025,8,sws tix,,,,,
" $3,910.00 ",46,Total hours,SWS,14," $1,190.00 ",,
 $391.00 ,GST,,Zoho,32," $2,720.00 ",,
" $4,301.00 ",Total,,Other,0, $-   ,,
,,,,,,,
September,,,,,,,
1/9/2025,6.5,"zoho swish import, cards",,,,,
2/9/2025,6.5,zoho swish import,,,,,
4/9/2025,1,sws tix,,,,,
4/9/2025,2,zoho,,,,,
5/9/2025,1.5,sws tix,,,,,
8/9/2025,1,zoho,,,,,
8/9/2025,3.5,sws tix,,,,,
10/9/2025,1.5,sws tix,,,,,
16/9/2025,1.5,sws tix,,,,,
22/9/2025,6,zoho hbcf,,,,,
23/9/2025,3,zoho hbcf,,,,,
23/9/2025,5.5,sws inspection form,,,,,
24/9/2025,8,sws inspection form,,,,,
25/9/2025,4,zoho,,,,,
25/9/2025,1,sws,,,,,
29/9/2025,4,zoho,,,,,
29/9/2025,1,sws tix,,,,,
30/9/2025,3,sws,,,,,
30/9/2025,-5.5,zoho past hous Jan 2025,,,,,
" $4,675.00 ",55,Total hours,SWS,27.5," $2,337.50 ",,
 $467.50 ,GST,,Zoho,27.5," $2,337.50 ",,
" $5,142.50 ",Total,,Other,0, $-   ,,
,,,,,,,
October,,,,,,,
1/10/2025,1,zoho,,,,,
1/10/2025,1,sws,,,,,
6/10/2025,5.5,zoho connect token,,,,,
8/10/2025,10,zoho connect token,,,,,
9/10/2025,6,zoho connect cards,,,,,
14/10/2025,4,sws ToDo attachments,,,,,
16/10/2025,1,zoho,,,,,
20/10/2025,2,zoho,,,,,
22/10/2025,4,zoho,,,,,
27/10/2025,5.5,zoho,,,,,
29/10/2025,3,zoho,,,,,
29/10/2025,1,sws,,,,,
" $3,740.00 ",44,Total hours,SWS,6, $510.00 ,,
 $374.00 ,GST,,Zoho,38," $3,230.00 ",,
" $4,114.00 ",Total,,Other,0, $-   ,,
,,,,,,,
November,,,,,,,
3/11/2025,4,sws,,,,,
6/11/2025,6,zoho,,,,,
12/11/2025,4.5,zoho,,,,,
13/11/2025,2.5,zoho,,,,,
20/11/2025,4.5,zoho,,,,,
24/11/2025,1,sws,,,,,
24/11/2025,2.5,zoho,,,,,
25/11/2025,1,zoho,,,,,
27/11/2025,4,sws,,,,,
27/11/2025,3.5,zoho swish,,,,,
30/11/2025,8,zoho swish (pre-bill),,,,,
" $3,527.50 ",41.5,Total hours,SWS,9, $765.00 ,,
 $352.75 ,GST,,Zoho,32.5," $2,762.50 ",,
" $3,880.25 ",Total,,Other,0, $-   ,,
,,,,,,,
December,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 $-   ,0,Total hours,SWS,0, $-   ,,
 $-   ,GST,,Zoho,0, $-   ,,
 $-   ,Total,,Other,0, $-   ,,
,,,,,,,
January,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 $-   ,0,Total hours,SWS,0, $-   ,,
 $-   ,GST,,Zoho,0, $-   ,," $2,399.00 "
 $-   ,Total,,Other,0, $-   ,,
,,,,,,,
Febuary,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 $-   ,0,Total hours,SWS,0, $-   ,,
 $-   ,GST,,Zoho,0, $-   ,,
 $-   ,Total,,Other,0, $-   ,,
,,,,,,,
March,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 $-   ,0,Total hours,SWS,0, $-   ,,
 $-   ,GST,,Zoho,0, $-   ,,
 $-   ,Total,,Other,0, $-   ,,
,,,,,,,
April,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 $-   ,0,Total hours,SWS,0, $-   ,,
 $-   ,GST,,Zoho,0, $-   ,,
 $-   ,Total,,Other,0, $-   ,,
,,,,,,,
May,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 $-   ,0,Total hours,SWS,0, $-   ,,
 $-   ,GST,,Zoho,0, $-   ,,
 $-   ,Total,,Other,0, $-   ,,
,,,,,,,
June,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 $-   ,0,Total hours,SWS,0, $-   ,,
 $-   ,GST,,Zoho,0, $-   ,,
 $-   ,Total,,Other,0, $-   ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
